,T,n_step,r,mu,sigma,S0,K,Price
4781,0.5,132.0,0.03,0.3,0.19,83.33333333333333,58.33333333333333,31.0789010605638
4782,0.5,132.0,0.03,0.3,0.19,83.33333333333333,66.66666666666666,22.910037332267635
4783,0.5,132.0,0.03,0.3,0.19,83.33333333333333,75.0,14.558247545567573
4784,0.5,132.0,0.03,0.3,0.19,83.33333333333333,83.33333333333333,7.136906566306841
4785,0.5,132.0,0.03,0.3,0.19,83.33333333333333,91.66666666666667,2.084919542177245
4786,0.5,132.0,0.03,0.3,0.19,83.33333333333333,100.00000000000001,0.3357298041944127
4787,0.5,132.0,0.03,0.3,0.19,83.33333333333333,108.33333333333333,0.033328564688627056
4788,0.5,132.0,0.03,0.3,0.19,94.44444444444444,66.1111111111111,35.3804328475294
4789,0.5,132.0,0.03,0.3,0.19,94.44444444444444,75.55555555555554,25.95622064601042
4790,0.5,132.0,0.03,0.3,0.19,94.44444444444444,85.0,16.79178468837833
4791,0.5,132.0,0.03,0.3,0.19,94.44444444444444,94.44444444444444,8.003627151436413
4792,0.5,132.0,0.03,0.3,0.19,94.44444444444444,103.8888888888889,2.3699682679251755
4793,0.5,132.0,0.03,0.3,0.19,94.44444444444444,113.33333333333334,0.35905997667074585
4794,0.5,132.0,0.03,0.3,0.19,94.44444444444444,122.77777777777779,0.0347954305677869
4795,0.5,132.0,0.03,0.3,0.19,105.55555555555556,73.88888888888889,39.44511031046301
4796,0.5,132.0,0.03,0.3,0.19,105.55555555555556,84.44444444444444,29.123623470667315
4797,0.5,132.0,0.03,0.3,0.19,105.55555555555556,95.0,18.569325294015005
4798,0.5,132.0,0.03,0.3,0.19,105.55555555555556,105.55555555555556,8.897244711224044
4799,0.5,132.0,0.03,0.3,0.19,105.55555555555556,116.11111111111113,2.588793676440139
4800,0.5,132.0,0.03,0.3,0.19,105.55555555555556,126.66666666666669,0.40568159972473394
4801,0.5,132.0,0.03,0.3,0.19,105.55555555555556,137.22222222222223,0.02827637282442502
4802,0.5,132.0,0.03,0.3,0.19,116.66666666666666,81.66666666666666,43.56769140749776
4803,0.5,132.0,0.03,0.3,0.19,116.66666666666666,93.33333333333331,31.9620988659654
4804,0.5,132.0,0.03,0.3,0.19,116.66666666666666,105.0,20.64140578496036
4805,0.5,132.0,0.03,0.3,0.19,116.66666666666666,116.66666666666666,10.057328630171993
4806,0.5,132.0,0.03,0.3,0.19,116.66666666666666,128.33333333333334,2.7629152076262926
4807,0.5,132.0,0.03,0.3,0.19,116.66666666666666,140.0,0.4632718458933267
4808,0.5,132.0,0.03,0.3,0.19,116.66666666666666,151.66666666666666,0.03864543940275912
4809,0.5,132.0,0.03,0.3,0.19,127.77777777777777,89.44444444444443,47.64532707032161
4810,0.5,132.0,0.03,0.3,0.19,127.77777777777777,102.22222222222221,35.242574172149
4811,0.5,132.0,0.03,0.3,0.19,127.77777777777777,115.0,22.503175395556177
4812,0.5,132.0,0.03,0.3,0.19,127.77777777777777,127.77777777777777,10.789492848193564
4813,0.5,132.0,0.03,0.3,0.19,127.77777777777777,140.55555555555557,3.077442822087984
4814,0.5,132.0,0.03,0.3,0.19,127.77777777777777,153.33333333333334,0.5015705294378431
4815,0.5,132.0,0.03,0.3,0.19,127.77777777777777,166.11111111111111,0.04598272564784545
4816,0.5,132.0,0.03,0.3,0.19,138.88888888888889,97.22222222222221,51.67281734038654
4817,0.5,132.0,0.03,0.3,0.19,138.88888888888889,111.1111111111111,38.24010508929289
4818,0.5,132.0,0.03,0.3,0.19,138.88888888888889,125.0,24.462116840897313
4819,0.5,132.0,0.03,0.3,0.19,138.88888888888889,138.88888888888889,11.821581808924632
4820,0.5,132.0,0.03,0.3,0.19,138.88888888888889,152.7777777777778,3.3795779179095886
4821,0.5,132.0,0.03,0.3,0.19,138.88888888888889,166.66666666666669,0.5502237465389455
4822,0.5,132.0,0.03,0.3,0.19,138.88888888888889,180.55555555555557,0.053458409974469046
4823,0.5,132.0,0.03,0.3,0.19,150.0,105.0,56.221849201527036
4824,0.5,132.0,0.03,0.3,0.19,150.0,119.99999999999999,41.14616967300533
4825,0.5,132.0,0.03,0.3,0.19,150.0,135.0,26.42332158615895
4826,0.5,132.0,0.03,0.3,0.19,150.0,150.0,12.87064747868369
4827,0.5,132.0,0.03,0.3,0.19,150.0,165.0,3.669360939443468
4828,0.5,132.0,0.03,0.3,0.19,150.0,180.00000000000003,0.4823957273299167
4829,0.5,132.0,0.03,0.3,0.19,150.0,195.0,0.05030413211042214
4830,0.5,132.0,0.03,0.3,0.26,50.0,35.0,18.627010753669204
4831,0.5,132.0,0.03,0.3,0.26,50.0,40.0,13.827791784879315
4832,0.5,132.0,0.03,0.3,0.26,50.0,45.0,8.846295082418147
4833,0.5,132.0,0.03,0.3,0.26,50.0,50.0,4.690327510719553
4834,0.5,132.0,0.03,0.3,0.26,50.0,55.00000000000001,1.8206567042537374
